Service,ResourceType,ResourceId,Name,Application,Environment,Notes
EC2,VPCEndpoint,vpce-0ece50561048eb91d,,CCT,CRT,Interface com.amazonaws.vpce.ca-central-1.vpce-svc-0a268b84d32edc322
EC2,VPCEndpoint,vpce-0d736085c2d527e8c,,CCT,CRT,Interface com.amazonaws.vpce.ca-central-1.vpce-svc-02514fc06cfc4643a
EC2,VPCEndpoint,vpce-0788ca05796c74578,ac-cct-crt-01-s3-gateway-vpc-endpoint,CCT,CRT,Gateway com.amazonaws.ca-central-1.s3
EC2,VPCEndpoint,vpce-0caf954871f504585,ac-cct-crt-cloudwatch-logs-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.logs
EC2,VPCEndpoint,vpce-01ca837794f7dba2f,ac-cct-crt-secretsmanager-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.secretsmanager
EC2,VPCEndpoint,vpce-0fc7254a034339db3,ac-cct-crt-ecs-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.ecs
EC2,VPCEndpoint,vpce-0dce697f4b55e363a,ac-cct-crt-ecr-dkr-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.ecr.dkr
EC2,VPCEndpoint,vpce-0cef7d1bc38e41839,ac-cct-crt-entityresolution-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.entityresolution
EC2,VPCEndpoint,vpce-08325890e22fb0f20,ac-cct-crt-profile-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.profile
EC2,VPCEndpoint,vpce-0bd33603e101226ee,ac-cct-crt-monitoring-vpc-endpoint,CCT,CRT,Interface com.amazonaws.ca-central-1.monitoring
EC2,VPCEndpoint,vpce-0444c2a5536688239,,CCT,CRT,Interface com.amazonaws.ca-central-1.sts
EC2,VPCEndpoint,vpce-08df24e5a2e771160,,CCT,CRT,Interface com.amazonaws.ca-central-1.lambda
EC2,VPCEndpoint,vpce-0f6bf5bc216bdffe4,,CCT,CRT,Interface com.amazonaws.vpce.ca-central-1.vpce-svc-05ff51ff575a5189c
EC2,VPCEndpoint,vpce-0c683a07febbe1117,,CCT,CRT,Interface com.amazonaws.vpce.ca-central-1.vpce-svc-0a268b84d32edc322
EC2,VPCEndpoint,vpce-05f62d5fae306626f,,CCT,CRT,Interface com.amazonaws.vpce.ca-central-1.vpce-svc-02514fc06cfc4643a
EC2,SecurityGroup,sg-0c0fd1f80ad5f4ca4,AC-CCT-CRT-ssm-sg,CCT,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0f0eed0c2bbceb796,ac-cct-crt-monitoring-vpc-endpoint-sg,Customer Care Transformation,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-049bed8299f3bc58b,ac-cct-kafka-client-sg-crt-cac1,Customer Care Transformation,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0a15ac3ad55b97888,cct-glue-historical-crt-CmPassengerCorrMigrationJobCmPassengerCorrMigrationJobSecurityGroup2C7FF71D-5TP7Bal8wgHk,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0c2a5d08591264da4,cct-sp-bookingChange-crt-routerSG229C5158-BKAAwyWynghd,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0b0e484a00241aca4,cct-sp-flightStatus-crt-byFINSG8379429F-35r7jWdevYZf,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-03f98955d1c57ba6c,cct-flink-etl-baggage-crt-FlinkHistoricalBaggageFlinkSecurityGroupDAB0E5B3-wRV5c0NObLkV,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0aebcc400e1158ae5,cct-trip-tracer-infra-crt-FargateServiceSGDABE5946-n03XxS5QSTqB,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-08c777203dc1a77ed,ac-cct-crt-case-processor-ecs-fargate-service-sg,Customer Care Transformation - Case MGMT Service,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0742d297e9e3aea98,ac-cct-crt-ask-ac-ecs-fargate-service-sg,Customer Care Transformation - Case MGMT Service,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-038325e02cba92cbb,cct-customer-profile-infrastructure-crt-FargateServiceSGDABE5946-GwJhYicZiqMK,Customer Profile,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-03db4ce7dc6947459,cct-glue-snowflake-crt-CancelCodeGlueJobGlueSecurityGroup8F7C4121-EHVQjudc5hDq,Trip Tracer,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0890f862b554327b0,cct-sp-customer-crt-customerprofileSGC0DD199F-wzXmizdNlWuo,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-06563b4418d469bfb,ac-cct-msk-sg-crt-cac1,Customer Care Transformation,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0858ea0f228d1c3bd,cct-sp-flightStatus-crt-byflightnumberSG900D010E-a5pdPIDyzVSR,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-037baba6e590e6163,ac-cct-crt-rule-engine-platform-ecs-fargate-service-sg,Customer Care Transformation - Case MGMT Service,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0f5aeba22aae33767,cct-sp-stepUp-crt-verifyidvcallbackSG953E3485-6eqzlL0y3WHx,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0fe75bb4bca68fbbd,cct-flink-etl-cm-pax-correlation-crt-FlinkHistoricalCMPaxCorrelationFlinkSecurityGroupF8B1DE73-ZoZtt3ejpZ3X,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0dee0db9616c7b7fd,ac-cct-crt-case-mgmt-ecs-fargate-service-sg,Customer Care Transformation - Case MGMT Service,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-008a73a392b71f659,cct-sp-getTrip-crt-gettripSG5ABB2665-hxmsJa0y0reX,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0206097aac7e38c30,ac-cct-crt-case-mgmt-alb-sg,Customer Care Transformation - Case MGMT Service,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-02388227327be33c6,cct-sp-flightStatus-crt-bydepartureairportSGCF46AB50-r6k14wyZ7Fhq,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-02c2e59cf6b7892d3,ac-cct-cmp-lambdas-crt-MessageMetadataEnrichLambdaSG10977187-SuFnxTVA5tov,Channel Manager Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-07518285ebccca1ef,cct-flink-etl-stormx-crt-FlinkHistoricalStormXFlinkSecurityGroupE8652A8A-j2HB3nd4vSGj,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-097deb0cbfe6e06a7,ac-cct-cmp-infra-crt-VpcEndpointSG69334BC7-NKUv9AAA5FIt,Channel Manager Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-067291d0cea176819,cct-glue-historical-crt-StormxHistoricalMigrationJobStormxHistoricalMigrationJobSecurityGroup23A20AF4-0gmp85dagWcx,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-05c2677e9918e12b1,cct-glue-historical-crt-BaggageHistoricalMigrationJobBaggageHistoricalMigrationJobSecurityGroupA0C14A61-LtEGgyDGYpSP,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0efc84576181ac753,cct-glue-historical-crt-SnowflakeTestJobSnowflakeTestJobSecurityGroupAF4A4F9F-jteJFVOOXtAe,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0c91b066f625dcd1b,cct-glue-snowflake-crt-ArrivalCodeGlueJobGlueSecurityGroup9DE5A337-KFLDdSHjOzvV,Trip Tracer,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-00d38a719aca948ea,cct-glue-snowflake-crt-OagGlueJobGlueSecurityGroupB08E32E1-3FpkzWtxwuxr,Trip Tracer,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0bfe3aa8162f0d6b2,ac-cct-crt-acpedia-ecs-fargate-service-sg,Customer Care Transformation - Case MGMT Service,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-02180e246fd8ce841,cct-sp-flightStatus-crt-byrouteSG28D3CEF2-9ID9TwmeZdVO,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0086a2e6cd4eb9fc2,cct-sp-notifications-crt-notificationsSG4F70B6B1-94iNXh2MXIuh,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0797c16e7a03f1413,cct-flink-etl-fdm-crt-FlinkHistoricalFDMFlinkSecurityGroup85273F9C-tYRXfofMryoW,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0622ae0be92776f85,cct-sp-baggage-crt-byidSG9958DFDE-hHtelIb89KCz,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0c32e3586a40d6ed3,ac-cct-rule-engine-crt-cac1-cluster-sg20260414042354487300000001,Customer Care Transformation - Rule Engine RDS,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0ae1fb6caf059dbec,ac-cct-trip-tracer-rds-cluster-crt-cac1-20251224233250480000000001,Customer Care Transformation,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0dd01841d494a26cd,cct-flink-etl-tkt-crt-FlinkHistoricalTKTFlinkSecurityGroupE559854D-DkWkuDkk521e,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-065e224a22b7ec179,ac-cct-crt-ecr-dkr-vpc-endpoint-sg,Customer Care Transformation,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0cd16cab037e4a151,ac-cct-crt-entityresolution-vpc-endpoint-sg,Customer Care Transformation,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0cc3ef469faddefa8,ac-cct-crt-claims-dashboard-ecs-fargate-service-sg,Customer Care Transformation - Case MGMT Service,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0d26af90edb8978ef,cct-flink-etl-pnr-crt-FlinkHistoricalPNRFlinkSecurityGroup522AA651-CrzwO4F8GA0C,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-00a947a4c9f683c24,cct-sp-flightStatus-crt-byinboundSGB0CA15C1-46RxCkUh2Q6c,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-05095549534343d18,cct-flink-etl-cancel-voucher-crt-FlinkHistoricalCancelVoucherFlinkSecurityGroupB750E5B7-rb06RvsoNjCW,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-09c9238ca1a7ec7e7,ac-cct-case-mgmt-crt-cac1-cluster-sg20260116180243515500000001,Customer Care Transformation - Ask AC,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0163c1b7d011cd66b,cct-trip-tracer-infra-crt-FargateServiceSGDABE5946-XquUC8nyNAZH,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0e5563ba5b0facf3b,ac-cct-ask-ac-crt-cac1-cluster-sg20260113231252640900000001,Customer Care Transformation - Ask AC,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-09554ff72a93dce36,cct-sp-flightStatus-crt-byarrivalairportSG41829921-KwVNPkBpCFBg,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0dd96b655df81e100,cct-sp-bookingChange-crt-eligibilitySG0F5753A7-vNhxx2lzIqa8,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0eeead0f462142392,cct-sp-stepUp-crt-sendotpSG976C7D25-q8FYuXppaJIe,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0c2597c3a5040c70b,ac-cct-crt-case-intake-ecs-fargate-service-sg,Customer Care Transformation - Case MGMT Service,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-058c2d741586117fa,cct-sp-case-crt-discoverySG7966AE99-h0ahQfjLLPMr,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0addc937d8e7c913f,cct-database-management-crt-CreatePartitionLambdaSG611A4343-zpKJgjsWxlcn,Trip Tracer,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0c125e96cc771f726,cct-flink-etl-aacc-crt-FlinkHistoricalAACCFlinkSecurityGroup56EBBE64-PoFqC2nWUYjn,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-04520d4fc3ae97d4b,cct-sp-stepUp-crt-idvcreateinquirySGADCA204C-0xbGU9N29XJ1,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-06b475cc874cf870e,ac-cct-cmp-lambdas-crt-MessageProcessorLambdaSG9191A4C0-Rkt2m30VIguv,Channel Manager Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0a2f88b8c2752e00d,ac-cct-cp-msk-connect-sg-crt,Customer Profile,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0b36e6a832503789f,ac-cct-crt-secretsmanager-vpc-endpoint-sg,Customer Care Transformation,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0413609317b898e38,cct-glue-historical-crt-IcouponHistoricalMigrationJobIcouponHistoricalMigrationJobSecurityGroupE035C268-DoTkirr9yExt,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0e2439c2f554a2b1a,ac-cct-cmp-lambdas-crt-StartChatLambdaSGEB6233EA-etLl4m2IXYQM,Channel Manager Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-04fbdf309539e968c,ac-cct-crt-execute-api-vpc-endpoint-sg,Customer Care Transformation,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0b4feb18b68bb2c6c,ac-cct-crt-ecs-vpc-endpoint-sg,Customer Care Transformation,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0be0a55d4a2fcb41c,cct-sp-stepUp-crt-getcontactinfoSG8F0FA540-tzt70foKDMdc,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0cf954ae6d342684d,ac-cct-msk-connect-sg-crt,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-03e74c37b0986272c,cct-sp-case-crt-proxySG4F60DB1C-cbWYWkscQizU,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0c74a18f8cbf6d48b,cct-flink-etl-icoupon-redemption-crt-FlinkHistoricaliCouponRedemptionFlinkSecurityGroup56374BAA-FSduNlpnTxC3,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-02c4649c964e17f40,cct-flink-etl-icoupon-crt-FlinkHistoricaliCouponFlinkSecurityGroup7149899C-ogUeXsUUApqr,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0a0449a3d86568188,cct-flink-etl-pnr-tkt-correlation-crt-FlinkHistoricalPNRTKTCorrelationFlinkSecurityGroupF775BFFE-wMOjIG1p7yW1,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0f464382096f9b559,ac-cct-crt-profile-vpc-endpoint-sg,Customer Care Transformation,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-09d4f32c2f06bebec,cct-sp-stepUp-crt-verifyotpSGEBE988D3-JzG6tMq8l7WF,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0c6167026d04b8ce4,ac-cct-cmp-lambdas-crt-AiAgentLambdaSG22040540-qHuUBzzdGL5L,Channel Manager Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-06c38becb97ecb167,ac-cct-crt-acpedia-alb-sg,Customer Care Transformation - Case MGMT Service,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-041d103c35a86b619,ac-cct-crt-ask-ac-alb-sg,Customer Care Transformation - Case MGMT Service,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-051ad2de8fbf1ff12,cct-sp-validateToken-crt-validatelogintokenSGBF6B02B2-n79BJ9qfhtce,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0250509b48a209f5f,ac-cct-trip-tracer-redshift-sg-crt,Customer Care Transformation - Trip Tracer,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-05cee15ef6fe66efc,cct-flink-etl-cm-crt-FlinkHistoricalCmFlinkSecurityGroupD8A55D3A-4sK4ANp0NSwu,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0d8fdad116f178dbe,arc75-qa-agent-cloudflared,CCT,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0b9efbab289414b16,cct-sp-infra-crt-jwtauthorizerSG466F1FF5-vxE2qUpCjhFB,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-069f45890dc6654df,cct-sp-baggage-crt-bypnrSG83C28F19-zvMASTovhFlz,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0300f76767d5e76ac,cct-sp-stepUp-crt-revokejwtSGABF0D27C-YqncPPUMnZ1E,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0bac009f12d91da34,cct-sp-stepUp-crt-resendotpSGE200B245-XnlyrgYCuGpn,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0aefa686508ab75a6,cct-glue-historical-crt-PnrTicketEmdCorrMigrationJobPnrTicketEmdCorrMigrationJobSecurityGroup8F836D18-iVXKFHEoWoNI,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-075cd0a5bd18568a7,ac-cct-cmp-lambdas-crt-EnableStreamingLambdaSGCCCD8249-MFgKeRU4xzcT,Channel Manager Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-076578d8e9ee07104,ac-cct-crt-cloudwatch-logs-vpc-endpoint-sg,Customer Care Transformation,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-09736227a69d38b3d,default,CCT,CRT,vpc=vpc-074002f57df8a6967
EC2,SecurityGroup,sg-0f3c8c997aa1364cf,cct-glue-historical-crt-PnrHistoricalMigrationJobPnrHistoricalMigrationJobSecurityGroupC5ED0001-NWsp7UwAZMpc,Service Proxy,CRT,vpc=vpc-074002f57df8a6967
EC2,Instance,i-0d3ada26f830a5491,test-a,CCT,CRT,t2.micro state=running ip=10.111.196.101
EC2,Instance,i-04ee64277a4a29f69,ac-cct-kafka-client-crt-cac1,Customer Care Transformation,CRT,t4g.nano state=running ip=10.111.198.144
ECS,Cluster,ac-cct-crt-ecs-cluster,ac-cct-crt-ecs-cluster,CCT,CRT,
ECS,Cluster,cct-trip-tracer-cluster-crt,cct-trip-tracer-cluster-crt,CCT,CRT,
ECS,Cluster,arc75-qa-agent,arc75-qa-agent,CCT,CRT,
ECS,Cluster,cct-customer-profile-cluster-crt,cct-customer-profile-cluster-crt,CCT,CRT,
ECS,Service,ac-cct-crt-case-processor-ecs-fargate-service,ac-cct-crt-case-processor-ecs-fargate-service,CCT,CRT,cluster=ac-cct-crt-ecs-cluster desired=1 running=0 task=case-processor-crt-fargate-task:1
ECS,Service,ac-cct-crt-case-intake-ecs-fargate-service,ac-cct-crt-case-intake-ecs-fargate-service,CCT,CRT,cluster=ac-cct-crt-ecs-cluster desired=1 running=1 task=case-intake-crt-fargate-task:6
ECS,Service,ac-cct-crt-acpedia-ecs-fargate-service,ac-cct-crt-acpedia-ecs-fargate-service,CCT,CRT,cluster=ac-cct-crt-ecs-cluster desired=1 running=0 task=acpedia-crt-fargate-task:1
ECS,Service,rule-engine-platform-crt-service,rule-engine-platform-crt-service,CCT,CRT,cluster=ac-cct-crt-ecs-cluster desired=1 running=1 task=rule-engine-platform-crt-fargate-task:25
ECS,Service,ac-cct-crt-claims-dashboard-ecs-fargate-service,ac-cct-crt-claims-dashboard-ecs-fargate-service,CCT,CRT,cluster=ac-cct-crt-ecs-cluster desired=1 running=0 task=claims-dashboard-crt-fargate-task:2
ECS,Service,ac-cct-crt-case-mgmt-ecs-fargate-service,ac-cct-crt-case-mgmt-ecs-fargate-service,CCT,CRT,cluster=ac-cct-crt-ecs-cluster desired=1 running=0 task=case-mgmt-crt-fargate-task:1
ECS,Service,ac-cct-crt-ask-ac-ecs-fargate-service,ac-cct-crt-ask-ac-ecs-fargate-service,CCT,CRT,cluster=ac-cct-crt-ecs-cluster desired=1 running=0 task=ask-ac-crt-fargate-task:1
ECS,Service,cct-customer-profile-gigya-crt,cct-customer-profile-gigya-crt,customer-profile,CRT,cluster=cct-customer-profile-cluster-crt desired=1 running=1 task=cct-customer-profile-gigya-crt:3
ECS,Service,cct-customer-profile-pnr-crt,cct-customer-profile-pnr-crt,customer-profile,CRT,cluster=cct-customer-profile-cluster-crt desired=1 running=1 task=cct-customer-profile-pnr-crt:11
ECS,Service,cct-customer-profile-ifly-crt,cct-customer-profile-ifly-crt,customer-profile,CRT,cluster=cct-customer-profile-cluster-crt desired=1 running=1 task=cct-customer-profile-ifly-crt:3
ECS,Service,arc75-qa-agent-cloudflared,arc75-qa-agent-cloudflared,arc75,CRT,cluster=arc75-qa-agent desired=1 running=1 task=arc75-qa-agent-cloudflared:3
Lambda,Function,cct-flink-etl-tkt-crt-FlinkHistoricalTKTDeployment-JEb6r7tY63mj,cct-flink-etl-tkt-crt-FlinkHistoricalTKTDeployment-JEb6r7tY63mj,CCT,CRT,runtime=python3.11 mem=256 vpc=none
Lambda,Function,cct-ingestion-tkt-trans-redrive-crt,cct-ingestion-tkt-trans-redrive-crt,CCT,CRT,runtime=nodejs22.x mem=256 vpc=vpc-074002f57df8a6967
Lambda,Function,controltower-kinesis-ca-central-1,controltower-kinesis-ca-central-1,CCT,CRT,runtime=nodejs16.x mem=128 vpc=none
Lambda,Function,cct-shared-infra-crt-LogRetentionaae0aa3c5b4d4f87b-bqsuCgj2W56Q,cct-shared-infra-crt-LogRetentionaae0aa3c5b4d4f87b-bqsuCgj2W56Q,CCT,CRT,runtime=nodejs22.x mem=128 vpc=none
Lambda,Function,cct-flink-etl-tkt-crt-FlinkHistoricalTKTDeployment-t4m5ZatiUQGR,cct-flink-etl-tkt-crt-FlinkHistoricalTKTDeployment-t4m5ZatiUQGR,CCT,CRT,runtime=nodejs22.x mem=128 vpc=none
Lambda,Function,cct-flink-tkt-historical--FlinkHistoricalTKTDeploy-o7enCl8Gyvyj,cct-flink-tkt-historical--FlinkHistoricalTKTDeploy-o7enCl8Gyvyj,CCT,CRT,runtime=python3.11 mem=256 vpc=none
